journals/bioinformatics,journals/bioinformatics/Aguirre-GamboaT14
conf/siggraph/2014talks,conf/siggraph/FragapaneHB14
conf/nips/2007,conf/nips/RossCP07
conf/pos/1989,conf/pos/AtkinsonM89
conf/adc/1994,conf/adc/SippuS94
conf/chi/2009a,conf/chi/WigdorFM09
conf/euroimsa/2005,conf/euroimsa/El-SayedAJP05
conf/btw/2013,conf/btw/BehrendtBCEFHKLRRSJNW13
conf/iccsa/2006-2,conf/iccsa/Lee06
conf/soda/2007,conf/soda/GopalanJKK07
conf/delos/2007,conf/delos/GranaVC07
conf/softvis/2008,conf/softvis/DachseltFD08
conf/graphite/2005,conf/graphite/MinghimLNWSLPT05
conf/iswcs/2013,conf/iswcs/RolnyKAW13
conf/isaim/2004,conf/isaim/Pearson04
conf/rsp/2005,conf/rsp/IrmanB05
conf/ht/97,conf/ht/BalasubramanianBP97
conf/cpaior/2005,conf/cpaior/HansenL05
conf/softcomp/2012s,conf/softcomp/AliagaVLGQCKG12
conf/bibe/2001,conf/bibe/ChenJ01
conf/pldi/1998,conf/pldi/BodikGS98
conf/chi/2010a,conf/chi/SpindlerD10
conf/ispdc/2004,conf/ispdc/Marowka04
conf/sacmat/2008,conf/sacmat/WeiCBR08
conf/isvc/2011-1,conf/isvc/MancasPP11
conf/acl/1990,conf/acl/Steedman90
conf/mum/2012,conf/mum/KarukkaNHK12
conf/scopes/2011,conf/scopes/BeyerG11
conf/lcn/2006,conf/lcn/LakshminarayananLLC06
conf/si3d/2005,conf/si3d/AdamsonAN05
journals/ctw,journals/ctw/BottaMHB11
conf/date/1998,conf/date/BasuLM98
conf/adbis/95,conf/adbis/Plotkin95a
conf/hotos/1993,conf/hotos/WuZ93
conf/interact/2013-2,conf/interact/LiZSD13
conf/icse/1992,conf/icse/EickLLVW92
conf/soda/1998,conf/soda/AvidorAS98
journals/rsa,journals/rsa/CzumajGRSSS14
conf/date/2003,conf/date/HelmschmidtSRRMB03
conf/globecom/2012,conf/globecom/SimsekBC12a
conf/icai/2005-2,conf/icai/Yang05a
journals/tcad,journals/tcad/LopezCN07
conf/vldb/97,conf/vldb/MorimotoIM97
conf/vtc/2010s,conf/vtc/LiZ10
conf/sigmod/83,conf/sigmod/Gray83
conf/dac/2004,conf/dac/KejariwalGNDG04
journals/tcom,journals/tcom/IspasGSAT13
conf/dexa/1994,conf/dexa/LandesS94
conf/graphicsinterface/2009,conf/graphicsinterface/WeidlichW09
conf/popl/1978,conf/popl/GordonMMNW78
conf/ifip11-4/2009,conf/ifip11-4/Hernandez-CastroR09
conf/isecs/2008,conf/isecs/DengS08
conf/tcltk/1997,conf/tcltk/Esperanca97
journals/jvca,journals/jvca/AryaJED06
conf/mwcn/2014,conf/mwcn/LamiableT14
conf/isnn/2005-3,conf/isnn/XuJZ05a
conf/gptp/2013,conf/gptp/Korns13
conf/aaai/1998,conf/aaai/ZweigR98
conf/ride/2000,conf/ride/CetintemelK00
conf/hci/2014-12,conf/hci/SakaguchiIH14
conf/er/2005w,conf/er/ListK05
conf/icmcs/1994,conf/icmcs/BergerDMS94
conf/dagstuhl/1998change,conf/dagstuhl/ChristiansenA98
journals/jacm,journals/jacm/Korth83
conf/ride/2000,conf/ride/SayginUE00
conf/stoc/STOC15,conf/stoc/Myers83
conf/sigsoft/1994,conf/sigsoft/GarlanAO94
conf/bcshci/2011,conf/bcshci/ShihVO11
conf/ssdbm/97,conf/ssdbm/BrankovicNM97
conf/ieaaie/2012,conf/ieaaie/RevetriaACGRMIF12
conf/icfp/1997,conf/icfp/BlumeA97
conf/digra/2005,conf/digra/Jayemanne05a
conf/iswc/2008,conf/iswc/CuzzortS08
conf/ami/2009,conf/ami/MikkonenLK09
conf/haptics/2012-1,conf/haptics/PacchierottiCMMP12
conf/icde/92,conf/icde/Bukhres92
conf/csclp/2005,conf/csclp/SchulteT05
conf/socc/2009,conf/socc/TrancheroR09
conf/c++/1987,conf/c++/LintonC87
conf/smi/2002,conf/smi/Gagalowicz02
conf/icnc/2014,conf/icnc/XulingyunZZ14
conf/synasc/2009,conf/synasc/DavenportC09
conf/oopsla/1986,conf/oopsla/Meyer86
conf/vl/2014,conf/vl/KankuziS14a
conf/aaaiss/2007-8,conf/aaaiss/Coecke07
conf/dfn/2011,conf/dfn/GeorgiWN11
conf/ride/96,conf/ride/SistlaWDNR96
conf/nossdav/2003,conf/nossdav/WuCK03
conf/date/2010,conf/date/CupaiuoloST10
conf/fpl/2006,conf/fpl/BakosCM06
conf/dbpl/93,conf/dbpl/Vance93
conf/ami/2009,conf/ami/MeschtscherjakovRMHT09
conf/micro/1996,conf/micro/ConteBLMS96
conf/sigplan/1982,conf/sigplan/MarksteinCM82
conf/sg/2009,conf/sg/CastroAS09
conf/isvc/2010-2,conf/isvc/AzaryS10
conf/vldb/94,conf/vldb/BaralisW94
conf/aips/2008,conf/aips/SardinaG08
conf/popl/81,conf/popl/KuckKPLW81
conf/scm/1995,conf/scm/Clemm95
conf/paste/1998,conf/paste/Snelting98
conf/jcdl/2006,conf/jcdl/Mu06
conf/pdis/96,conf/pdis/QuassGMW96
conf/isss/1994,conf/isss/AngD94
conf/ijcai/1983,conf/ijcai/KalmanP83
conf/nime/2009,conf/nime/JonesHGMOR09
conf/vissym/2006,conf/vissym/WangTM06
conf/ride/2000,conf/ride/JingHHSRF00
journals/jbcb,journals/jbcb/ChengEWD12
conf/vtc/2014f,conf/vtc/GanteGDSC14
conf/dac/2002,conf/dac/ThieleCGK02
conf/ecis/2013,conf/ecis/HackelIM13
journals/tods,journals/tods/Lipski79
conf/esec/1997,conf/esec/ChenGK98
conf/csl/1989,conf/csl/GurevichM89
conf/sg/2006,conf/sg/MaassD06
conf/ismar/2005,conf/ismar/ReitmayrED05
conf/ieeevast/2008,conf/ieeevast/Chabot08
conf/candc/2011,conf/candc/BonnardelB11
conf/vts/2008,conf/vts/ChandraK08
conf/edbt/90,conf/edbt/Chen90
conf/vr/2007,conf/vr/KimYHLP07
conf/dexaw/1997,conf/dexaw/Sala97
conf/soda/2007,conf/soda/CainSW07
conf/iccad/2010,conf/iccad/GuR10
conf/pkdd/2011-3,conf/pkdd/SahaRDVD11
conf/stoc/1999,conf/stoc/AmbainisNTV99
conf/webnet/1996,conf/webnet/Aotani96
conf/icn/2001-2,conf/icn/LealF01
conf/paams/2012s,conf/paams/AlzaidiK12
conf/fpt/2008,conf/fpt/SanderHBT08
conf/medinfo/2007,conf/medinfo/ZafarD07
conf/mirage/2009,conf/mirage/ZhengL09
conf/icde/86,conf/icde/MannilaR86
conf/hci/2013-23,conf/hci/LiWW13
conf/ac/1980ds,conf/ac/KimbletonWL80
conf/fcst/2010,conf/fcst/QuHSK10
conf/aspdac/2001,conf/aspdac/CongPS01
conf/icassp/2001,conf/icassp/SilvaL01
conf/ccs/2014,conf/ccs/ElahiDG14
conf/avss/2008,conf/avss/Nicolescu08
conf/cpaior/2014,conf/cpaior/KinableT14
conf/qshine/2013,conf/qshine/SinghVV13
conf/acl/1994,conf/acl/Nederhof94
conf/fcst/2010,conf/fcst/DongYLLH10
conf/vldb/99,conf/vldb/KumarRRT99
conf/ecal/2007,conf/ecal/SantosCP07
conf/sigplan/1982,conf/sigplan/MorganR82
conf/huc/2012,conf/huc/Jeon12
conf/haptics/2012-1,conf/haptics/HirotaT12
conf/isec/2001,conf/isec/YangZM01
conf/ccgrid/2013,conf/ccgrid/DiazCVPB13
conf/cccg/2007,conf/cccg/RoyLDM07
conf/arc/2010,conf/arc/FanWC10
conf/arith/2005,conf/arith/AharoniAMNNZ05
conf/ispdc/2009,conf/ispdc/SahraeiG09
conf/soda/1993,conf/soda/AzarBM93
conf/apgv/2009,conf/apgv/PetitBT09
conf/spdp/1992,conf/spdp/Dahlhaus92
conf/vlsid/1996,conf/vlsid/DasB96a
conf/icecsys/2007,conf/icecsys/DimopoulosPKSH07
conf/icdcs/1985,conf/icdcs/JinP85
conf/iui/2006,conf/iui/HuiB06
conf/vldb/79,conf/vldb/Herot79
conf/evoW/2010bio,conf/evoW/TiconaJTD10
conf/graphicsinterface/2014,conf/graphicsinterface/TournierNFG14
conf/ismis/2014,conf/ismis/AkdagEC14
conf/cidm/2011,conf/cidm/JarmanELBM11
conf/amast/1993,conf/amast/EhrigP93
conf/oopsla/1990,conf/oopsla/HelmHG90
conf/edbt/98,conf/edbt/TangH98
conf/estimedia/2009,conf/estimedia/BathenADP09
conf/er/99,conf/er/LeeLLK99
conf/hm/2010,conf/hm/DoernerS10
conf/vtc/2013s,conf/vtc/FuWK13
conf/popl/1984,conf/popl/Warren84
conf/europar/2013,conf/europar/CrainGR13
conf/podc/1999,conf/podc/AdlerF99
conf/icmcs/1997,conf/icmcs/AtmacaAK97
conf/iva/2005,conf/iva/SansonnetML05
conf/mobility/2007,conf/mobility/WittK07
conf/icpp/1993-3,conf/icpp/BlackstonR93
journals/tvlsi,journals/tvlsi/DawidFM96
conf/icse/1976,conf/icse/Smith76
