journals/neuroimage/XuELPH10,article,Persistent posterior and transient anterior medial temporal lobe activity during navigation.,,2010,52,1654-1666,,db/journals/neuroimage/neuroimage52.html#XuELPH10,NeuroImage,
journals/jsw/ZhangCXC11,article,Topic Mining based on Word Posterior Probability in Spoken Document.,,2011,6,2292-2299,,db/journals/jsw/jsw6.html#ZhangCXC11,JSW,
conf/acivs/GaoJY06,inproceedings,Constrained Region-Growing and Edge Enhancement Towards Automated Semantic Video Object Segmentation.,ACIVS,2006,,323-331,,db/conf/acivs/acivs2006.html#GaoJY06,,
journals/dm/LiuL09a,article,Set systems with cross L-intersection and k-wise L-intersecting families.,,2009,309,5920-5925,,db/journals/dm/dm309.html#LiuL09a,Discrete Mathematics,
journals/pr/Liu10a,article,Detecting the fuzzy clusters of complex networks.,,2010,43,1334-1345,,db/journals/pr/pr43.html#Liu10a,Pattern Recognition,
conf/icnc/JiangYLZG13,inproceedings,The analysis of CRM customer information based on data mining.,ICNC,2013,,978-983,,db/conf/icnc/icnc2013.html#JiangYLZG13,,
conf/iva/Kruger03,inproceedings,Life-like Characters for the Personal Exploration of Active Cultural Heritage.,IVA,2003,,217,,db/conf/iva/iva2003.html#Kruger03,,
conf/ecoop/GilI98,inproceedings,The Complexity of Type Analysis of Object Oriented Programs.,ECOOP,1998,,601-634,,db/conf/ecoop/ecoop98.html#GilI98,,
conf/ijcai/MuiseMB11,inproceedings,Monitoring the Execution of Partial-Order Plans via Regression.,IJCAI,2011,,1975-1982,,db/conf/ijcai/ijcai2011.html#MuiseMB11,,
conf/cikm/LuK08,inproceedings,Automatic metadata generation for scanned scientific volumes.,BooksOnline,2008,,57-58,,db/conf/cikm/books2008.html#LuK08,,
conf/nips/YuMYCS14,inproceedings,Efficient Structured Matrix Rank Minimization.,NIPS,2014,,1350-1358,,db/conf/nips/nips2014.html#YuMYCS14,,
journals/te/GuarasaMSAN06,article,A project-based learning approach to design electronic systems curricula.,,2006,49,389-397,,db/journals/te/te49.html#GuarasaMSAN06,IEEE Trans. Education,
conf/nips/TristanHTPGS14,inproceedings,Augur: Data-Parallel Probabilistic Modeling.,NIPS,2014,,2600-2608,,db/conf/nips/nips2014.html#TristanHTPGS14,,
conf/nips/DaiEL13,inproceedings,What Are the Invariant Occlusive Components of Image Patches? A Probabilistic Generative Approach.,NIPS,2013,,243-251,,db/conf/nips/nips2013.html#DaiEL13,,
conf/ki/KritzlerLK07,inproceedings,Analysing Movement and Behavioural Patterns of Laboratory Mice in a Semi Natural Environment Based on Data collected via RFID-Technology.,BMI,2007,,17-28,,db/conf/ki/bmi2007.html#KritzlerLK07,,
journals/ivc/ZhangTRZ14,article,"Special issue on ""Multi-biometrics and Mobile-biometrics: Recent Advances and Future Research"".",,2014,32,1145-1146,,db/journals/ivc/ivc32.html#ZhangTRZ14,Image Vision Comput.,
conf/icassp/ChuPYC01,inproceedings,Selecting non-uniform units from a very large corpus for concatenative speech synthesizer.,ICASSP,2001,,785-788,,db/conf/icassp/icassp2001.html#ChuPYC01,,
conf/graphicsinterface/OBrienBBH00,inproceedings,Automatic Joint Parameter Estimation from Magnetic Motion Capture Data.,Graphics Interface,2000,,53-60,,db/conf/graphicsinterface/graphicsinterface2000.html#OBrienBBH00,,
journals/biodatamining/ChiraHD11,article,Hill-Climbing search and diversification within an evolutionary approach to protein structure prediction.,,2011,4,23,,db/journals/biodatamining/biodatamining4.html#ChiraHD11,BioData Mining,
conf/waim/BaiWCXLL08,inproceedings,DTAD: A Dynamic Taint Analysis Detector for Information Security.,WAIM,2008,,591-597,,db/conf/waim/waim2008.html#BaiWCXLL08,,
journals/jcm/WangLZY08,article,In-Field Attack Proof of Injected False Data in Sensor Networks.,,2008,3,35-42,,db/journals/jcm/jcm3.html#WangLZY08,JCM,
conf/icmcs/WangZYW07,inproceedings,H.264 Intra Prediction Architecture Optimization.,ICME,2007,,1571-1574,,db/conf/icmcs/icme2007.html#WangZYW07,,
conf/graphicsinterface/HeidrichSS97,inproceedings,An Image-Based Model for Realistic Lens Systems in Interactive Computer Graphics.,Graphics Interface,1997,,68-75,,db/conf/graphicsinterface/graphicsinterface1997.html#HeidrichSS97,,
journals/tcyb/ZhangYZH13,article,Image and Video Restorations via Nonlocal Kernel Regression.,,2013,43,1035-1046,,db/journals/tcyb/tcyb43.html#ZhangYZH13,IEEE T. Cybernetics,
conf/icpp/QinJS02,inproceedings,An Efficient Fault-Tolerant Scheduling Algorithm for Real-Time Tasks with Precedence Constraints in Heterogeneous Systems.,ICPP,2002,,360-370,,db/conf/icpp/icpp2002.html#QinJS02,,
conf/apgv/RieckeFR08,inproceedings,"Auditory self-motion illusions (""circular vection"") can be facilitated by vibrations and the potential for actual motion.",APGV,2008,,147-154,,db/conf/apgv/apgv2008.html#RieckeFR08,,
conf/nips/PaulusSM14,inproceedings,Global Belief Recursive Neural Networks.,NIPS,2014,,2888-2896,,db/conf/nips/nips2014.html#PaulusSM14,,
conf/vissym/ChlanR04,inproceedings,A Botanically Inspired High-Dimensional Visualization with Multivariate Glyphs.,VisSym,2004,,"231-236, 349",,db/conf/vissym/vissym2004.html#ChlanR04,,
journals/ijcat/LinM10,article,Multi-level contextual product development knowledge management in PLM.,,2010,37,279-286,,db/journals/ijcat/ijcat37.html#LinM10,IJCAT,
journals/chinaf/LiXQL14,article,Hierarchical clustering driven by cognitive features.,,2014,57,1-14,,db/journals/chinaf/chinaf57.html#LiXQL14,SCIENCE CHINA Information Sciences,
conf/aipr/ParkPHCQ08,inproceedings,"Low-cost, high-speed computer vision using NVIDIA's CUDA architecture.",AIPR,2008,,1-7,,db/conf/aipr/aipr2008.html#ParkPHCQ08,,
conf/sara/RendlMGG09,inproceedings,Common Subexpressions in Constraint Models of Planning Problems.,SARA,2009,,,,db/conf/sara/sara2009.html#RendlMGG09,,
conf/ecai/ReyR12,inproceedings,Probabilistic Path-Disruption Games.,ECAI,2012,,923-924,,db/conf/ecai/ecai2012.html#ReyR12,,
journals/ijcse/YangFCL15,article,A study on disk index design for large scale de-duplication storage systems.,,2015,10,171-180,,db/journals/ijcse/ijcse10.html#YangFCL15,IJCSE,
conf/iwec/SongGLS11,inproceedings,"A Poor Woman's Interactive Remake of the ""I Still Remember"" Documentary with OpenGL.",ICEC,2011,,362-366,,db/conf/iwec/icec2011.html#SongGLS11,,
