conf/edbt/TangH98,journals/dpd/KrishnakumarS95
conf/edbt/AgrawalGL98,conf/icde/AgrawalS95
conf/er/BriandDHHK87,journals/csur/TeoreyYF86
conf/dasfaa/Ramamohanarao91,conf/vldb/KempRS90
conf/adbis/ScheuerlCMMM95,journals/tods/CattellS92
conf/adbis/NorvaagSB97,journals/tods/AgrawalCL87
conf/adbis/Buddrus97,journals/cn/AndersonG95
conf/er/AbrahamR98,conf/cikm/KlemettinenMRTV94
conf/er/ChuZ97,books/mk/Cattell96
conf/icdt/AggarwalHK01,conf/kdd/BennettFG99
conf/dl/Marshall97,conf/ht/MarshallS97
conf/dasfaa/FreitagSMZ95,journals/toplas/ClarkeES86
conf/cikm/Widom95,conf/vldb/CeriW91
conf/edbt/HanQC88,journals/jacm/HenschenN84
conf/dasfaa/Arikawa91,conf/sigmod/LecluseRV88
conf/edbt/BergamaschiBS88,journals/tods/Chen76
conf/adbis/Doubrovski96,conf/icde/DeaconSW94
conf/cikm/BuvacF95,conf/kr/PatilFPMFGN92
conf/adbis/Yokota94,conf/fgcs/YasukawaTY92
conf/adbis/ZismanK97,journals/jiis/GiladiS94
conf/dbpl/ErwigL91,conf/fpca/Bellot85
conf/edbt/ChenR94,journals/cacm/YuSBYBT89
conf/dasfaa/HarangsriSN97,conf/sigmod/HaasS92
conf/adbis/MadriaMC99,conf/cikm/Lee93
conf/adbis/Liu99,journals/jcss/Kuper90
conf/edbt/RabinovichGK96,books/aw/BernsteinHG87
conf/edbt/LuT92,journals/tkde/LakshmiY90
books/sp/patton99/PattonD99,conf/rules/DittrichGG95
conf/dasfaa/KimHL99,conf/dood/Beeri89
conf/dbpl/Nikhil87,conf/dbpl/ArgoHTFL87
conf/dasfaa/NguyenWH91,books/aw/Stroustrup86
conf/dasfaa/HanL89,journals/algorithmica/Ioannidis86
conf/er/Dampney87,conf/vldb/BryM86
conf/dasfaa/LimN95,conf/dood/ChenC89
conf/edbt/SheldonDWOG94,conf/sosp/GiffordBBL85
conf/er/BurgR95,conf/nldb/BurgR95
conf/edbt/CiacciaPZ98,conf/sigmod/Guttman84
conf/dbpl/LeungMSVVZ93,conf/dbpl/AtkinsonLPR91
conf/dbpl/ZhuM89,conf/sigmod/BancilhonR86
conf/edbt/KumarS88,journals/jacm/Garcia-MolinaB85
conf/edbt/BohlenCST96,books/bc/ElmasriN94
conf/dasfaa/LehnerR97,conf/icde/GuptaHRU97
conf/adbis/ThomasJ96,conf/rules/BenazetGB95
conf/er/Ferg91,journals/acj/Davenport79
conf/edbt/HutfleszSW88,conf/sigmod/Freeston87
conf/edbt/LiuL00,journals/jcss/BunemanDW91
conf/dbpl/ValduriezDHBC89,conf/sigmod/AlexanderC88
conf/coopis/TrajcevskiBL00,journals/tods/BergamaschiS92
conf/cikm/SegevWB95,conf/compcon/TenenbaumMSW95
conf/edbt/PanagopoulosF94,journals/debu/Faloutsos90
conf/er/CasanovaCRL91,conf/er/AzarP86
conf/er/DeyS97,journals/tkde/BarbaraGP92
conf/dasfaa/BaumGPST93,conf/sigmod/CareyDV88
conf/dasfaa/LeeKLL93,journals/debu/Zemankova89
conf/dasfaa/LeeH91,journals/jacm/Robinson65
conf/dasfaa/YuWZM95,books/aw/Date90
