journals/imds,Industrial Management and Data Systems
journals/nc,Natural Computing
conf/csl/1987,"CSL '87, 1st Workshop on Computer Science Logic, Karlsruhe, Germany, October 12-16, 1987, Proceedings",CSL,1988,329,Springer,db/conf/csl/csl87.html
conf/ijcai/1997,"Proceedings of the Fifteenth International Joint Conference on Artificial Intelligence, IJCAI 97, Nagoya, Japan, August 23-29, 1997, 2 Volumes",IJCAI,1997,,Morgan Kaufmann,db/conf/ijcai/ijcai97.html
journals/cor,Computers & OR
journals/jei,J. Electronic Imaging
journals/jcisd,Journal of Chemical Information and Computer Sciences
journals/tsp,IEEE Transactions on Signal Processing
journals/ijmi,I. J. Medical Informatics
conf/icmcs/1999-1,"IEEE International Conference on Multimedia Computing and Systems, ICMCS 1999, Florence, Italy, June 7-11, 1999. Volume I","ICMCS, Vol. 1",1999,,IEEE Computer Society,db/conf/icmcs/icmcs99-1.html
conf/stoc/1998,"Proceedings of the Thirtieth Annual ACM Symposium on the Theory of Computing, Dallas, Texas, USA, May 23-26, 1998",STOC,1998,,ACM,db/conf/stoc/stoc1998.html
journals/candc,Computational Biology and Chemistry
conf/sigir/86,"SIGIR'86, Proceedings of the 9th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,  Pisa, Italy, September 8-10, 1986",,1986,,ACM,db/conf/sigir/sigir86.html
journals/tap,TAP
journals/ese,Empirical Software Engineering
conf/cp/1995,"Principles and Practice of Constraint Programming - CP'95, First International Conference, CP'95, Cassis, France, September 19-22, 1995, Proceedings",CP,1995,976,Springer,db/conf/cp/cp95.html
conf/cc/1998,"Compiler Construction, 7th International Conference, CC'98, Held as Part of the European Joint Conferences on the Theory and Practice of Software, ETAPS'98, Lisbon, Portugal, March 28 - April 4, 1998, Proceedings",CC,1998,1383,Springer,db/conf/cc/cc98.html
conf/popl/1986,"Conference Record of the Thirteenth Annual ACM Symposium on Principles of Programming Languages, St. Petersburg Beach, Florida, USA, January 1986",POPL,1986,,ACM Press,db/conf/popl/popl86.html
conf/ijcai/2009,"IJCAI 2009, Proceedings of the 21st International Joint Conference on Artificial Intelligence, Pasadena, California, USA, July 11-17, 2009",IJCAI,2009,,,db/conf/ijcai/ijcai2009.html
journals/jeim,J. Enterprise Inf. Management
journals/geb,Games and Economic Behavior
conf/ride/97,"7th International Workshop on Research Issues in Data Engineering (RIDE '97) High Performance Database Management for Large-Scale Applications, Birmingham, UK, April 7-8, 1997",,1997,,IEEE Computer Society,db/conf/ride/ride97.html
